# 390x844  narrow=True  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=0.9 downhillCredit=None undul=1.0 tilt=1.0
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
126    148   273 0.90   YES   343 0.550   22.0     4.5    True      305  123.9     347
127    157   214 0.90   YES   499 0.325   16.0     4.5    True      319 -230.9     476
128    113   201 1.04   YES   800 0.350   58.0     2.8    True      284  -25.7     430
129    136   249 1.23   YES   409 0.300   18.0     2.7    True      282 -180.4     465
130    125   103 0.95   YES   549 0.350   63.0     4.5    True      304  -55.0     437
131    155   350 1.11   YES   306 0.375   30.0     4.4    True      281  -62.1     438
132    120   302 1.13   YES   385 0.450   27.0     3.2    True      222  100.4     358
133    115   180 1.09   YES   465 0.200   26.0     1.4    True      310 -165.2     461
134    146   351 0.82   YES   305 0.500   22.0     4.1    True      240  128.7     345
135    152    70 0.65   YES   240 0.550   21.0     5.2    True      337  107.3     354
136    173    23 0.65   YES   342 0.375   11.0     4.8    True      307  -87.8     444
137    117   279 0.81   YES  2326 0.225  141.0     3.1    True      302  -88.1     444
138    175   343 0.72   YES   352 0.575   20.0     6.1    True      334   -4.8     426
139    154   299 0.62   YES   243 0.450   17.0     4.8    True      259   37.0     392
140    123   302 1.20   YES   487 0.125   41.0     2.4    True      318 -145.7     457
141    118    56 0.98   YES   294 0.500   17.0     4.8    True      280  169.9     330
142    175   227 0.88   YES   250 0.600   19.0     5.4    True      272   64.0     376
143    124   186 1.34   YES   409 0.425   31.0     3.3    True      228   41.3     389
144    126   101 0.99   YES   917 0.200   50.0     2.9    True      275 -129.4     453
145    154   162 0.76   YES   260 0.475   24.0     4.7    True      268   35.6     393
146    119   285 0.81   YES   359 0.650   13.0     2.3    True      262  -77.8     442
147    117   283 0.69   YES   310 0.400   23.0     3.8    True      324   54.7     381
148    137   186 0.80   YES   576 0.200   53.0     3.6    True      340  -89.3     444
149    151   290 1.26   YES  1512 0.100   98.0     3.2    True      287 -231.5     476
150    115    57 1.05   YES   317 0.450   17.0     2.5    True      299  102.6     357

SOLVABLE 151/151 = 100.0%
aim tolerance on solvable rounds: min 9.0deg  median 26.0deg  max 211.0deg
