# 1920x1080  narrow=False  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=0.9
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
162    350   349 1.26   YES    37 0.925    5.0    11.2   False      616  -45.8     576
163    384    22 1.19   YES    33 0.900    4.0    11.4   False      687  -50.7     592
164    343    55 0.93   YES    21 0.925    5.0    10.7   False      404   45.0     387
165    331    65 1.04   YES   153 0.775   34.0    10.3   False      578   -9.9     457
166    345   141 1.19   YES    37 0.975   12.0    10.9   False      390   49.4     384
167    344   119 0.68   YES    37 0.875    6.0    10.6   False      436   16.0     407
168    350   205 0.62   YES    20 0.925    5.0    11.6   False      474   41.9     389
169    362    37 1.02   YES    16 0.925    4.0    11.2   False      498   22.7     402
170    418    75 1.03   YES    23 0.900    6.0    12.3   False      618  -22.5     499
171    354    40 0.93   YES    44 0.900   16.0    11.6   False      571   29.9     397
172    349   359 0.85   YES    26 0.925    7.0    11.5   False      494   42.9     388
173    349   134 0.84   YES    22 0.950    7.0    11.1   False      473   42.4     388
174    433   235 1.24   YES   168 0.950   32.0    12.2   False      705  -47.5     581
175    369   120 0.69   YES   140 0.850   30.0    11.4   False      443   -8.4     452
176    309   191 0.66   YES    92 0.825   14.0     9.3   False      456   -0.1     425
177    354   313 0.96   YES    24 0.950    7.0    11.8   False      404   31.6     396
178    342    95 0.95   YES    30 0.925    7.0    11.0   False      571   55.8     380
179    318   101 1.24   YES   153 0.700   49.0     9.9   False      607  -28.1     517
180    327   222 1.31   YES    19 0.925    4.0    11.1   False      426   80.9     367
181    336    10 1.09   YES    37 0.950    9.0    11.4   False      439   50.4     383
182    372     8 0.71   YES    71 0.925   18.0    11.7   False      506    9.4     413
183    343    80 0.72   YES    24 0.900    5.0    11.2   False      463   12.2     411
184    405    69 1.17   YES    24 0.900    6.0    11.9   False      644  -59.9     622
185    364   124 1.05   YES    51 0.950   15.0    11.3   False      640   16.5     407
186    347   321 0.76   YES    32 0.850    4.0    11.1   False      431   47.0     386
187    333   197 1.11   YES    26 0.900    5.0    11.4   False      445   42.0     389
188    346     8 0.72   YES    22 1.000    7.0    12.0   False      445   48.4     385
189    364     9 0.90   YES    20 0.900    4.0    11.7   False      485   19.3     405
190    407    67 1.31   YES   157 0.625   20.0    11.2   False      655  -79.8     688
191    367   345 1.33   YES    76 0.925   18.0    11.8   False      570   12.4     411
192    355    24 0.63   YES    39 0.800    4.0    10.7   False      652  -61.4     627
193    477   188 0.69   YES     8 0.975    2.0    12.6   False      501  -33.0     534
194    342   299 1.00   YES    32 0.975    8.0    10.8   False      577   41.5     389
195    324   269 0.91   YES    59 0.850   15.0    10.9   False      457   27.6     398
196    327    52 1.06   YES    24 0.925    6.0    11.4   False      419   79.3     368
197    329   128 0.77   YES    24 1.000    5.0    11.1   False      472   52.6     382
198    346   219 1.13   YES   145 0.750   27.0    10.0   False      611  -75.1     672
199    346   124 1.02   YES    27 0.900    6.0    11.6   False      425   42.6     388
200    343     1 1.17   YES    15 0.950    4.0    11.7   False      552   53.7     382

SOLVABLE 194/201 = 96.5%
aim tolerance on solvable rounds: min 2.0deg  median 7.0deg  max 58.0deg
UNSOLVABLE rounds: 11 (dist 456px, closest miss 21.7px, maxReach 549px, hotPass=False), 14 (dist 460px, closest miss 27.5px, maxReach 469px, hotPass=False), 68 (dist 453px, closest miss 32.5px, maxReach 530px, hotPass=False), 83 (dist 468px, closest miss 39.7px, maxReach 475px, hotPass=False), 87 (dist 527px, closest miss 19.6px, maxReach 625px, hotPass=False), 88 (dist 464px, closest miss 25.6px, maxReach 617px, hotPass=False), 147 (dist 485px, closest miss 28.6px, maxReach 635px, hotPass=False)
