# 1920x1080  narrow=False  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=None
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
119    416   254 1.00   YES    39 0.875    9.0    12.1   False      602  -25.8     510
120    390    55 1.01   YES   220 0.625   28.0    11.5   False      659  -68.0     649
121    470     2 1.10    no     0     -    0.0    92.7   False      429   30.2     396
122    332    53 1.15   YES    73 0.875   13.0    10.3   False      538    6.0     417
123    456   318 1.20    no     0     -    0.0    49.2   False      611   -0.4     426
124    317   265 1.11   YES    32 0.875    5.0    11.2   False      524   56.1     380
125    466    71 1.28   YES    28 0.950    3.0    12.2   False      581  -63.6     634
126    374   273 0.90   YES    29 1.000   11.0    12.0   False      472   -9.6     456
127    482   214 0.90   YES    41 0.875    4.0    12.3   False      553  -77.5     680
128    327   201 1.04   YES    48 0.875    7.0     9.8   False      422   35.3     393
129    325   249 1.23   YES    96 0.725   21.0     9.9   False      574   -6.9     447
130    350   103 0.95   YES    37 0.850    5.0    10.6   False      594  -24.3     505
131    339   350 1.11   YES   147 0.400   10.0    10.7   False      673  -61.5     628
132    423   302 1.13    no     0     -    0.0    42.9   False      464   35.4     393
133    376   180 1.09   YES    48 0.750    4.0    11.0   False      643  -54.2     603
134    497   351 0.82    no     0     -    0.0   115.6   False      426   48.2     385
135    407    70 0.65    no     0     -    0.0    37.2   False      441   41.0     389
136    575    23 0.65    no     0     -    0.0    57.2   False      581  -30.1     524
137    398   279 0.81   YES    14 1.000    6.0    12.4   False      566  -18.2     485
138    502   343 0.72    no     0     -    0.0   100.6   False      467   15.9     408
139    442   299 0.62    no     0     -    0.0    34.4   False      467    1.4     422
140    356   302 1.20   YES    65 0.675    4.0    10.2   False      736  -59.7     622
141    317    56 0.98   YES    59 0.925   10.0    11.2   False      408   66.3     374
142    470   227 0.88    no     0     -    0.0    59.9   False      432   10.6     412
143    343   186 1.34   YES    32 0.900    7.0    11.1   False      493   27.3     399
144    427   101 0.99   YES    10 0.975    4.0    12.5   False      515  -32.8     533
145    505   162 0.76    no     0     -    0.0   109.7   False      523   18.7     405
146    320   285 0.81   YES   108 0.650    8.0     8.9   False      561  -25.4     508
147    575   283 0.69    no     0     -    0.0   119.8   False      602  -39.2     554
148    473   186 0.80   YES     4 1.000    3.0    12.7   False      562  -41.7     562
149    410   290 1.26   YES    59 0.750    6.0    11.2   False      645  -77.2     679
150    311    57 1.05   YES    77 0.825    9.0    10.2   False      461   19.8     404
151    454   360 0.85    no     0     -    0.0    85.2   False      416   46.4     386
152    456   114 1.03    no     0     -    0.0    68.0   False      495   50.5     383
153    331   355 1.14   YES    61 0.800    9.0    10.7   False      562  -19.9     490
154    347   169 1.24   YES     9 1.000    5.0    12.3   False      461   93.7     361
155    514   274 0.80    no     0     -    0.0   117.7   False      495   26.1     399
156    429   343 1.30   YES    14 0.925    3.0    12.0   False      564  -86.1     709
157    574    20 0.80    no     0     -    0.0   147.9   False      568  -10.9     460
158    399   193 0.70   YES     3 1.000    3.0    12.5   False      434    9.1     414
159    443   184 0.99    no     0     -    0.0    61.2   False      443   49.0     384
160    316   172 1.05   YES   440 0.500   58.0     8.9   False      606  -48.6     585
161    461   338 0.77    no     0     -    0.0    65.8   False      396   27.7     398
162    350   349 1.26   YES    37 0.925    5.0    11.2   False      616  -45.8     576
163    384    22 1.19   YES    33 0.900    4.0    11.4   False      687  -50.7     592
164    405    55 0.93    no     0     -    0.0    26.9   False      419   53.6     382
165    331    65 1.04   YES   153 0.775   34.0    10.3   False      578   -9.9     457
166    434   141 1.19    no     0     -    0.0    60.2   False      396   50.3     383
167    344   119 0.68   YES    37 0.875    6.0    10.6   False      436   16.0     407
168    432   205 0.62    no     0     -    0.0    53.1   False      502   39.7     390
169    402    37 1.02   YES     1 1.000    1.0    12.9   False      499   20.0     404
170    418    75 1.03   YES    23 0.900    6.0    12.3   False      618  -22.5     499
171    422    40 0.93    no     0     -    0.0    32.4   False      563   34.3     394
172    391   359 0.85   YES     4 1.000    4.0    12.7   False      485   40.7     389
173    360   134 0.84   YES    16 0.950    6.0    11.5   False      471   42.6     388
174    433   235 1.24   YES   168 0.950   32.0    12.2   False      705  -47.5     581
175    369   120 0.69   YES   140 0.850   30.0    11.4   False      443   -8.4     452
176    309   191 0.66   YES    92 0.825   14.0     9.3   False      456   -0.1     425
177    401   313 0.96    no     0     -    0.0    21.0   False      405   34.7     393
178    486    95 0.95    no     0     -    0.0   112.8   False      406   52.6     382
179    318   101 1.24   YES   153 0.700   49.0     9.9   False      607  -28.1     517
180    486   222 1.31    no     0     -    0.0   131.4   False      383   89.0     363
181    423    10 1.09    no     0     -    0.0    56.7   False      408   69.1     373
182    375     8 0.71   YES    72 0.925   17.0    11.6   False      506    9.1     414
183    343    80 0.72   YES    24 0.900    5.0    11.2   False      463   12.2     411
184    405    69 1.17   YES    24 0.900    6.0    11.9   False      644  -59.9     622
185    415   124 1.05    no     0     -    0.0    25.5   False      634   19.6     404
186    436   321 0.76    no     0     -    0.0    28.3   False      410   39.7     390
187    333   197 1.11   YES    26 0.900    5.0    11.4   False      445   42.0     389
188    349     8 0.72   YES    21 1.000    8.0    11.2   False      445   48.1     385
189    369     9 0.90   YES    20 0.900    4.0    11.2   False      486   19.2     405
190    407    67 1.31   YES   157 0.625   20.0    11.2   False      655  -79.8     688
191    381   345 1.33   YES    58 0.975   19.0    11.6   False      571   15.0     408
192    355    24 0.63   YES    39 0.800    4.0    10.7   False      652  -61.4     627
193    521   188 0.69   YES     2 0.950    1.0    12.9   False      535  -31.9     530
194    428   299 1.00    no     0     -    0.0    55.9   False      552   55.5     380
195    324   269 0.91   YES    59 0.850   15.0    10.9   False      457   27.6     398
196    476    52 1.06    no     0     -    0.0   116.8   False      388   88.1     363
197    329   128 0.77   YES    24 1.000    5.0    11.1   False      472   52.6     382
198    346   219 1.13   YES   145 0.750   27.0    10.0   False      611  -75.1     672
199    404   124 1.02    no     0     -    0.0    15.8   False      409   48.1     385
200    406     1 1.17    no     0     -    0.0    42.9   False      546   50.6     383

SOLVABLE 123/201 = 61.2%
aim tolerance on solvable rounds: min 1.0deg  median 6.0deg  max 58.0deg
UNSOLVABLE rounds: 2 (dist 417px, closest miss 15.4px, maxReach 604px, hotPass=False), 4 (dist 389px, closest miss 22.7px, maxReach 460px, hotPass=False), 8 (dist 432px, closest miss 56.4px, maxReach 422px, hotPass=False), 11 (dist 499px, closest miss 77.6px, maxReach 511px, hotPass=False), 12 (dist 553px, closest miss 172.1px, maxReach 434px, hotPass=False), 13 (dist 457px, closest miss 78.4px, maxReach 404px, hotPass=False), 14 (dist 580px, closest miss 126.8px, maxReach 537px, hotPass=False), 16 (dist 453px, closest miss 70.6px, maxReach 517px, hotPass=False), 20 (dist 434px, closest miss 28.6px, maxReach 492px, hotPass=False), 24 (dist 479px, closest miss 77.1px, maxReach 592px, hotPass=False), 25 (dist 490px, closest miss 125.3px, maxReach 512px, hotPass=False), 26 (dist 462px, closest miss 54.8px, maxReach 496px, hotPass=False), 27 (dist 459px, closest miss 114.9px, maxReach 375px, hotPass=False), 28 (dist 586px, closest miss 187.1px, maxReach 575px, hotPass=False), 30 (dist 410px, closest miss 46.9px, maxReach 426px, hotPass=False), 31 (dist 531px, closest miss 173.8px, maxReach 540px, hotPass=False), 33 (dist 456px, closest miss 65.4px, maxReach 434px, hotPass=False), 36 (dist 586px, closest miss 164.0px, maxReach 432px, hotPass=False), 37 (dist 508px, closest miss 118.4px, maxReach 414px, hotPass=False), 44 (dist 492px, closest miss 113.2px, maxReach 399px, hotPass=False), 47 (dist 500px, closest miss 117.1px, maxReach 493px, hotPass=False), 49 (dist 421px, closest miss 53.1px, maxReach 470px, hotPass=False), 53 (dist 584px, closest miss 201.3px, maxReach 403px, hotPass=False), 54 (dist 493px, closest miss 89.3px, maxReach 426px, hotPass=False), 55 (dist 424px, closest miss 58.5px, maxReach 370px, hotPass=False), 57 (dist 499px, closest miss 84.5px, maxReach 475px, hotPass=False), 59 (dist 442px, closest miss 14.6px, maxReach 526px, hotPass=False), 61 (dist 437px, closest miss 57.6px, maxReach 419px, hotPass=False), 64 (dist 456px, closest miss 81.2px, maxReach 407px, hotPass=False), 66 (dist 426px, closest miss 59.9px, maxReach 412px, hotPass=False), 68 (dist 504px, closest miss 69.5px, maxReach 553px, hotPass=False), 69 (dist 413px, closest miss 32.7px, maxReach 461px, hotPass=False), 71 (dist 446px, closest miss 35.1px, maxReach 575px, hotPass=False), 79 (dist 425px, closest miss 24.1px, maxReach 477px, hotPass=False), 82 (dist 499px, closest miss 119.3px, maxReach 424px, hotPass=False), 83 (dist 569px, closest miss 139.8px, maxReach 437px, hotPass=False), 87 (dist 527px, closest miss 19.6px, maxReach 625px, hotPass=False), 88 (dist 464px, closest miss 25.6px, maxReach 617px, hotPass=False), 89 (dist 440px, closest miss 51.9px, maxReach 402px, hotPass=False), 91 (dist 452px, closest miss 55.8px, maxReach 519px, hotPass=False), 95 (dist 419px, closest miss 53.3px, maxReach 392px, hotPass=False), 97 (dist 509px, closest miss 119.0px, maxReach 459px, hotPass=False), 98 (dist 567px, closest miss 114.0px, maxReach 538px, hotPass=False), 104 (dist 434px, closest miss 53.2px, maxReach 440px, hotPass=False), 105 (dist 392px, closest miss 22.4px, maxReach 435px, hotPass=False), 109 (dist 484px, closest miss 57.5px, maxReach 532px, hotPass=False), 118 (dist 477px, closest miss 15.1px, maxReach 542px, hotPass=False), 121 (dist 470px, closest miss 92.7px, maxReach 429px, hotPass=False), 123 (dist 456px, closest miss 49.2px, maxReach 611px, hotPass=False), 132 (dist 423px, closest miss 42.9px, maxReach 464px, hotPass=False), 134 (dist 497px, closest miss 115.6px, maxReach 426px, hotPass=False), 135 (dist 407px, closest miss 37.2px, maxReach 441px, hotPass=False), 136 (dist 575px, closest miss 57.2px, maxReach 581px, hotPass=False), 138 (dist 502px, closest miss 100.6px, maxReach 467px, hotPass=False), 139 (dist 442px, closest miss 34.4px, maxReach 467px, hotPass=False), 142 (dist 470px, closest miss 59.9px, maxReach 432px, hotPass=False), 145 (dist 505px, closest miss 109.7px, maxReach 523px, hotPass=False), 147 (dist 575px, closest miss 119.8px, maxReach 602px, hotPass=False), 151 (dist 454px, closest miss 85.2px, maxReach 416px, hotPass=False), 152 (dist 456px, closest miss 68.0px, maxReach 495px, hotPass=False), 155 (dist 514px, closest miss 117.7px, maxReach 495px, hotPass=False), 157 (dist 574px, closest miss 147.9px, maxReach 568px, hotPass=False), 159 (dist 443px, closest miss 61.2px, maxReach 443px, hotPass=False), 161 (dist 461px, closest miss 65.8px, maxReach 396px, hotPass=False), 164 (dist 405px, closest miss 26.9px, maxReach 419px, hotPass=False), 166 (dist 434px, closest miss 60.2px, maxReach 396px, hotPass=False), 168 (dist 432px, closest miss 53.1px, maxReach 502px, hotPass=False), 171 (dist 422px, closest miss 32.4px, maxReach 563px, hotPass=False), 177 (dist 401px, closest miss 21.0px, maxReach 405px, hotPass=False), 178 (dist 486px, closest miss 112.8px, maxReach 406px, hotPass=False), 180 (dist 486px, closest miss 131.4px, maxReach 383px, hotPass=False), 181 (dist 423px, closest miss 56.7px, maxReach 408px, hotPass=False), 185 (dist 415px, closest miss 25.5px, maxReach 634px, hotPass=False), 186 (dist 436px, closest miss 28.3px, maxReach 410px, hotPass=False), 194 (dist 428px, closest miss 55.9px, maxReach 552px, hotPass=False), 196 (dist 476px, closest miss 116.8px, maxReach 388px, hotPass=False), 199 (dist 404px, closest miss 15.8px, maxReach 409px, hotPass=False), 200 (dist 406px, closest miss 42.9px, maxReach 546px, hotPass=False)
