# 1440x900  narrow=False  dt=1/60s  grid=360ang x 37pow = 13320 putts/round
# capture<520  MAX_SPEED=900  FRICTION=0.12  CUP_R=13  reachSafety=None
rnd   dist  tilt  mag sunk?  hits bestP tolDeg minMiss hotPass maxReach  upAcc  aReach
179    379   101 1.24   YES    13 1.000    7.0    11.8   False      475   29.9     397
180    379   222 1.31    no     0     -    0.0    30.3   False      388  100.1     358
181    315    10 1.09   YES    40 0.900    7.0    10.5   False      407   75.8     369
182    307     8 0.71   YES   174 0.775   29.0    10.5   False      553    9.1     414
183    266    80 0.72   YES    75 0.725    6.0     8.8   False      527   20.4     404
184    314    69 1.17   YES    88 0.675   10.0     8.4   False      715  -71.3     660
185    324   124 1.05   YES   113 0.875   17.0    10.3   False      571   22.8     402
186    330   321 0.76   YES    32 0.825    4.0    10.6   False      398   54.7     381
187    261   197 1.11   YES   103 0.900   10.0     8.0   False      419   49.4     384
188    259     8 0.72   YES    78 0.800   10.0     8.5   False      386   53.7     381
189    293     9 0.90   YES   108 0.750    6.0     9.4   False      453   22.0     403
190    310    67 1.31   YES   399 0.450   39.0     8.7   False      626  -98.9     751
191    300   345 1.33   YES   138 0.775   23.0     9.9   False      493   10.0     413
192    275    24 0.63   YES   102 0.925    6.0     8.2   False      557  -75.5     674
193    387   188 0.69   YES    33 1.000    4.0    11.5   False      625  -44.5     571
194    353   299 1.00   YES    17 1.000    7.0    11.9   False      502   64.1     376
195    419   269 0.91   YES    40 1.000   26.0    12.4   False      491    2.1     421
196    370    52 1.06    no     0     -    0.0    19.8   False      383  105.0     356
197    274   128 0.77   YES    55 0.800    5.0     9.3   False      419   57.9     379
198    259   219 1.13   YES   525 0.500   35.0     7.8   False      589  -98.7     750
199    308   124 1.02   YES    42 0.825    6.0    10.1   False      393   56.9     380
200    309     1 1.17   YES    29 0.950    5.0    10.2   False      467   59.6     378
201    298    43 1.03   YES   268 0.375   40.0     9.6   False      631  -85.7     707
202    408   311 1.07    no     0     -    0.0    45.1   False      392   76.9     369
203    422   352 1.21   YES    25 0.825    6.0    11.9   False      664  -23.8     503
204    267   102 1.33   YES   133 0.475    6.0     8.2   False      554  -29.7     523
205    340   162 0.90   YES    82 0.700    9.0     9.7   False      588  -56.1     610
206    345   270 1.26   YES   276 0.400   28.0    10.2   False      481  -74.8     672
207    260   317 1.23   YES   127 0.575   19.0     8.2   False      569  -17.2     481
208    282   285 1.15   YES   172 0.700   17.0     9.3   False      433    8.2     414
209    277   272 0.81   YES   120 0.800   18.0     9.1   False      449   49.8     384
210    374   145 1.20   YES     4 1.000    4.0    12.4   False      416   54.3     381
211    293   298 0.81   YES    52 0.800    5.0     9.3   False      455   31.9     395
